,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,PRAX,"Praxis Precision Medicines, Inc.",,177.33 +119.98 (+209.21%),119.98,+209.21%,11.177M,466114,3.733B,--,-23.45%,26.70 205.89
1,JBHT,"J.B. Hunt Transport Services, Inc.",,165.99 +27.16 (+19.56%),27.16,+19.56%,3.504M,1.173M,16.068B,28.72,-19.97%,122.79 200.40
2,GRAL,"GRAIL, Inc.",,83.39 +7.87 (+10.42%),7.87,+10.42%,1.182M,908485,3.006B,--,+431.83%,12.76 87.42
3,HL,Hecla Mining Company,,15.28 +1.12 (+7.91%),1.12,+7.91%,11.457M,24.751M,10.237B,95.50,+111.66%,4.46 15.29
4,KYIV,Kyivstar Group Ltd.,,13.64 +0.90 (+7.06%),0.9,+7.06%,764275,1.079M,3.149B,10.49,+28.04%,9.92 16.48
5,GFI,Gold Fields Limited,,47.12 +3.33 (+7.61%),3.33,+7.61%,2.743M,3.341M,42.174B,22.55,+154.00%,12.98 47.18
6,EXK,Endeavour Silver Corp.,,10.20 +0.72 (+7.53%),0.72,+7.53%,11.315M,13.234M,2.961B,--,+123.29%,2.95 10.37
7,SBSW,Sibanye Stillwater Limited,,12.99 +0.90 (+7.44%),0.9,+7.44%,8.261M,8.567M,9.192B,--,+197.05%,3.05 13.11
8,BLTE,"Belite Bio, Inc",,86.78 +5.52 (+6.81%),5.52,+6.81%,56815,49795,2.849B,--,+45.11%,49.00 86.86
9,STNG,Scorpio Tankers Inc.,,58.09 +3.52 (+6.45%),3.52,+6.45%,339715,1.022M,2.964B,7.81,-17.62%,30.63 67.50
10,WDC,Western Digital Corporation,,127.45 +7.01 (+5.82%),7.01,+5.82%,8.597M,8.51M,43.689B,28.70,+136.59%,28.83 137.40
11,TFII,TFI International Inc.,,93.80 +4.80 (+5.39%),4.8,+5.39%,116958,319746,7.797B,21.61,-35.57%,72.02 155.12
12,BRKR,Bruker Corporation,,38.21 +2.01 (+5.55%),2.01,+5.55%,1.619M,4.097M,5.797B,73.48,-40.16%,28.53 64.64
13,CAI,"Caris Life Sciences, Inc.",,32.87 +1.71 (+5.50%),1.71,+5.50%,396062,675512,9.246B,--,+11.29%,25.40 42.50
14,EPAC,Enerpac Tool Group Corp.,,42.52 +2.21 (+5.48%),2.21,+5.48%,284096,368410,2.293B,26.41,-9.58%,36.51 51.91
15,AU,AngloGold Ashanti plc,,79.36 +4.14 (+5.50%),4.14,+5.50%,1.721M,2.997M,40.054B,20.99,+154.81%,22.45 79.52
16,KNX,Knight-Swift Transportation Holdings Inc.,,46.45 +2.25 (+5.09%),2.25,+5.09%,2.691M,3.141M,7.539B,45.54,-14.70%,36.69 61.51
17,AVTR,"Avantor, Inc.",,14.60 +0.73 (+5.27%),0.73,+5.27%,7.115M,12.063M,9.953B,14.46,-44.00%,10.83 26.14
18,EGO,Eldorado Gold Corporation,,30.74 +1.56 (+5.35%),1.56,+5.35%,1.873M,2.012M,6.25B,15.14,+62.02%,13.29 30.84
19,FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",,95.56 +4.55 (+5.00%),4.55,+5.00%,214990,903703,35.857B,41.37,-3.09%,81.08 108.74
20,ASX,"ASE Technology Holding Co., Ltd.",,12.53 +0.60 (+5.07%),0.6,+5.07%,10.113M,6.866M,27.259B,25.58,+11.08%,6.94 12.84
21,MU,"Micron Technology, Inc.",,200.92 +8.98 (+4.68%),8.98,+4.68%,26.149M,23.08M,225.526B,26.51,+71.30%,61.54 206.34
22,DRD,DRDGOLD Limited,,31.68 +1.54 (+5.12%),1.54,+5.12%,358452,713898,2.738B,27.79,+163.92%,8.38 31.91
23,METC,"Ramaco Resources, Inc.",,50.29 +2.44 (+5.11%),2.44,+5.11%,2.767M,3.268M,2.986B,--,+353.75%,6.30 57.80
24,CLS,Celestica Inc.,,282.47 +12.51 (+4.63%),12.51,+4.63%,2.886M,3.37M,32.531B,61.54,+364.01%,55.30 296.85
25,VICR,Vicor Corporation,,60.01 +2.70 (+4.71%),2.7,+4.71%,303284,375962,2.696B,41.10,+39.27%,38.92 65.70
26,BVN,Compañía de Minas Buenaventura S.A.A.,,26.75 +1.21 (+4.74%),1.21,+4.74%,950923,1.154M,6.787B,16.31,+91.45%,11.50 26.96
27,STX,Seagate Technology Holdings plc,,229.47 +10.09 (+4.60%),10.09,+4.60%,3.063M,4.037M,48.87B,33.85,+95.09%,63.19 264.83
28,DNLI,Denali Therapeutics Inc.,,17.07 +0.76 (+4.66%),0.76,+4.66%,1.011M,1.937M,2.496B,--,-40.52%,10.57 33.33
29,PPTA,Perpetua Resources Corp.,,28.97 +1.47 (+5.35%),1.47,+5.35%,4.452M,2.779M,3.116B,--,+179.76%,7.81 31.65
