,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg vol (3m),Market cap,P/E Ratio (TTM),52 Wk Change %,52 Wk range
0,DGNX,Diginex Limited,,24.20 +4.40 (+22.22%),4.4,+22.22%,1.368M,450876,4.913B,--,"+3,302.46%",0.45 25.14
1,TMC,TMC the metals company Inc.,,9.28 +1.56 (+20.21%),1.56,+20.21%,32.739M,10.118M,4.074B,--,+828.00%,0.72 9.55
2,RGC,Regencell Bioscience Holdings Limited,,20.05 +2.80 (+16.23%),2.8,+16.23%,821875,424100,9.915B,--,"+14,379.25%",0.09 83.60
3,QURE,uniQure N.V.,,57.92 +5.01 (+9.47%),5.01,+9.47%,4.535M,3.055M,3.568B,--,+932.44%,5.23 60.70
4,JHX,James Hardie Industries plc,,21.72 +1.63 (+8.11%),1.63,+8.11%,12.842M,7.957M,12.58B,26.17,-40.54%,17.85 37.77
5,APP,AppLovin Corporation,,631.85 +44.85 (+7.64%),44.85,+7.64%,11.749M,7.488M,198.553B,86.91,+340.62%,139.40 745.61
6,USAR,"USA Rare Earth, Inc.",,28.27 +1.95 (+7.41%),1.95,+7.41%,21.227M,7.686M,3.218B,--,+162.49%,5.56 30.92
7,FRMI,Fermi Inc.,,28.17 +1.82 (+6.91%),1.82,+6.91%,7.623M,18.125M,16.836B,--,-13.40%,24.30 36.99
8,FIG,"Figma, Inc.",,60.84 +3.88 (+6.81%),3.88,+6.81%,23.767M,13.155M,29.798B,--,-47.32%,49.53 142.92
9,IREN,IREN Limited,,61.68 +3.93 (+6.81%),3.93,+6.81%,72.429M,31.975M,16.776B,146.86,+721.30%,5.13 63.40
10,SOFI,"SoFi Technologies, Inc.",,28.14 +1.78 (+6.75%),1.78,+6.75%,121.159M,70.304M,33.696B,56.28,+227.59%,8.30 30.30
11,SLNO,"Soleno Therapeutics, Inc.",,62.11 +3.66 (+6.26%),3.66,+6.26%,1.297M,1.886M,3.301B,--,+21.59%,41.50 90.32
12,MENS,Jyong Biotech Ltd.,,55.11 +3.10 (+5.96%),3.1,+5.96%,297562,198946,4.19B,--,+445.10%,6.01 67.00
13,CDTX,"Cidara Therapeutics, Inc.",,102.17 +5.72 (+5.93%),5.72,+5.93%,1.159M,741159,2.591B,--,+841.66%,10.14 106.63
14,HIMS,"Hims & Hers Health, Inc.",,57.97 +3.21 (+5.86%),3.21,+5.86%,26.237M,30.148M,12.617B,69.84,+209.50%,17.36 72.98
15,NNE,NANO Nuclear Energy Inc.,,56.63 +3.00 (+5.59%),3.0,+5.59%,8.299M,3.505M,2.358B,--,+240.73%,15.16 60.51
16,RGTI,"Rigetti Computing, Inc.",,43.91 +2.20 (+5.27%),2.2,+5.27%,174.392M,59.925M,14.234B,--,"+5,632.38%",0.73 46.18
17,AA,Alcoa Corporation,,35.53 +1.74 (+5.15%),1.74,+5.15%,11.275M,6.089M,9.199B,8.38,-7.57%,21.53 47.77
18,RKLB,Rocket Lab Corporation,,61.51 +3.01 (+5.15%),3.01,+5.15%,36.175M,22.601M,29.768B,--,+550.90%,8.99 62.56
19,LQDA,Liquidia Corporation,,24.02 +1.16 (+5.10%),1.16,+5.10%,2.999M,2.819M,2.068B,--,+116.49%,9.71 29.94
20,METCB,"Ramaco Resources, Inc.",,18.17 +0.88 (+5.09%),0.88,+5.09%,135650,193190,2.441B,--,+71.93%,5.94 20.58
21,OCUL,"Ocular Therapeutix, Inc.",,11.52 +0.55 (+5.01%),0.55,+5.01%,3.715M,2.586M,2.441B,--,+23.87%,5.79 13.85
22,CNR,"Core Natural Resources, Inc.",,92.70 +4.25 (+4.80%),4.25,+4.80%,1.7M,756728,4.771B,40.13,-13.32%,58.19 134.59
23,BWIN,"The Baldwin Insurance Group, Inc.",,28.96 +1.32 (+4.78%),1.32,+4.78%,1.081M,832473,2.065B,--,-43.76%,26.33 55.82
