,Unnamed: 0,Volume,Last,Chg,% Chg
0,Greenwave Technology Solutions Inc. (GWAV),58.9K,16.86,8.35,98.12
1,PMGC Holdings Inc. (ELAB),77.3K,9.69,4.48,85.99
2,Aqua Metals Inc. (AQMS),82.7K,16.52,6.62,66.75
3,Astria Therapeutics Inc. (ATXS),295.0K,11.92,3.44,40.67
4,Critical Metals Corp. (CRML),1.2M,30.14,6.86,29.47
5,American Resources Corp. (AREC),646.6K,6.06,1.08,21.7
6,Navitas Semiconductor Corp. (NVTS),2.4M,12.03,2.06,20.66
7,Trilogy Metals Inc. (TMQ),331.8K,7.88,1.32,20.12
8,Cyngn Inc. (CYN),135.7K,6.59,1.09,19.84
9,StableX Technologies Inc. (SBLX),85.4K,6.5,1.0,18.27
10,Rocket Pharmaceuticals Inc. (RCKT),165.4K,4.08,0.61,17.58
11,Telefon AB L.M. Ericsson Series B ADR (ERIC),779.8K,9.48,1.31,16.03
12,Rekor Systems Inc. (REKR),558.4K,2.34,0.26,12.5
13,Almonty Industries Inc. (ALM),101.1K,9.5,0.86,9.98
14,United States Antimony Corp. (UAMY),379.0K,18.24,1.52,9.13
15,Energy Fuels Inc. (UUUU),233.7K,25.68,1.92,8.06
16,Novonix Ltd. ADR (NVX),421.4K,3.04,0.22,7.8
17,NioCorp Developments Ltd. (NB),461.7K,12.12,0.81,7.11
18,Nouveau Monde Graphite Inc. (NMG),54.8K,5.42,0.35,6.9
19,American Battery Technology Co. (ABAT),601.8K,9.84,0.62,6.76
20,USA Rare Earth Inc. (USAR),790.1K,41.14,2.46,6.35
21,Westwater Resources Inc. (WWR),301.1K,2.7,0.14,5.66
22,New Era Energy & Digital Inc. (NUAI),217.5K,2.48,0.13,5.32
23,Kopin Corp. (KOPN),323.8K,3.57,0.18,5.31
24,MP Materials Corp. (MP),159.2K,98.92,3.85,4.06
25,Odyssey Marine Exploration Inc. (OMEX),232.9K,3.6,0.12,3.3
26,SEALSQ Corp. (LAES),690.5K,6.33,0.2,3.23
27,Spyre Therapeutics Inc. (SYRE),89.0K,19.44,0.53,2.78
28,Power Integrations Inc. (POWI),81.6K,44.2,1.04,2.42
29,Northern Dynasty Minerals Ltd. (NAK),369.0K,2.72,0.06,2.26
