,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,CRML,Critical Metals Corp.,,30.25 +6.97 (+29.94%),6.97,+29.94%,13.134M,10.922M,3.234B,--,+239.36%,1.23 30.48
1,BITF,Bitfarms Ltd.,,5.28 -0.11 (-2.05%),-0.11,-2.05%,25.113M,60.297M,2.918B,--,+191.35%,0.67 5.42
2,NVTS,Navitas Semiconductor Corporation,,11.88 +1.91 (+19.16%),1.91,+19.16%,16.404M,29.847M,2.532B,--,+297.21%,1.52 12.46
3,FORD,"Forward Industries, Inc.",,23.49 -1.09 (-4.43%),-1.09,-4.43%,10760,302193,2.021B,--,+629.38%,3.30 46.00
4,BTQ,BTQ Technologies Corp.,,12.23 +0.15 (+1.24%),0.15,+1.24%,1.108M,11.617M,1.693B,--,+129.66%,4.94 16.00
5,METCB,"Ramaco Resources, Inc.",,21.40 -0.27 (-1.27%),-0.27,-1.27%,11662,166595,3.085B,--,+112.04%,5.94 21.83
6,IONQ,"IonQ, Inc.",,80.75 -1.36 (-1.66%),-1.36,-1.66%,1.957M,25.078M,26.722B,--,+682.55%,10.36 84.64
7,ERIC,Telefonaktiebolaget LM Ericsson (publ),,9.47 +1.30 (+15.95%),1.3,+15.95%,4.702M,13.158M,31.644B,17.54,-4.22%,6.64 9.51
8,AGX,"Argan, Inc.",,294.72 +38.57 (+15.06%),38.57,+15.06%,467778,394565,4.071B,35.34,+144.62%,101.02 295.04
9,UAMY,United States Antimony Corporation,,18.23 +1.52 (+9.09%),1.52,+9.09%,5.702M,9.109M,2.488B,--,"+2,220.83%",0.49 19.70
10,RUN,Sunrun Inc.,,20.67 -0.50 (-2.36%),-0.5,-2.36%,249856,13.804M,4.769B,--,+40.29%,5.38 21.19
11,LAC,Lithium Americas Corp.,,8.19 -0.26 (-3.02%),-0.26,-3.02%,6.67M,33.273M,2.023B,--,+215.73%,2.31 9.48
12,SKE,Skeena Resources Limited,,19.57 -0.98 (-4.75%),-0.98,-4.75%,47608,655246,2.37B,--,+118.49%,7.32 20.77
13,ARM,Arm Holdings plc,,171.91 -0.03 (-0.01%),-0.03,-0.01%,1.193M,4.971M,182.103B,264.48,+14.12%,80.00 182.88
14,IE,Ivanhoe Electric Inc.,,15.82 -0.15 (-0.94%),-0.15,-0.94%,49019,1.649M,2.101B,--,+72.84%,4.50 16.22
15,PSIX,"Power Solutions International, Inc.",,90.26 -4.70 (-4.95%),-4.7,-4.95%,50680,747087,2.079B,18.77,+289.98%,15.30 121.78
16,GRND,Grindr Inc.,,13.55 +0.29 (+2.19%),0.29,+2.19%,198540,2.188M,2.601B,--,+3.44%,11.73 25.13
