,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,LBRT,Liberty Energy Inc.,,15.32 +3.39 (+28.35%),3.39,+28.35%,26.078M,4.155M,2.482B,11.79,-32.54%,9.50 23.58
1,IRON,"Disc Medicine, Inc.",,89.94 +15.58 (+20.95%),15.58,+20.95%,2.244M,354075,3.127B,--,+47.07%,30.82 95.95
2,PRAX,"Praxis Precision Medicines, Inc.",,189.99 +27.28 (+16.77%),27.28,+16.77%,4.413M,672403,3.999B,--,+122.28%,26.70 205.89
3,RVMD,"Revolution Medicines, Inc.",,54.10 +4.42 (+8.90%),4.42,+8.90%,4.557M,2.009M,10.113B,--,-1.49%,29.17 62.40
4,KVUE,Kenvue Inc.,,15.30 +1.19 (+8.43%),1.19,+8.43%,48.755M,27.695M,29.362B,20.40,-35.04%,14.05 25.17
5,CRML,Critical Metals Corp.,,20.86 +1.44 (+7.42%),1.44,+7.42%,36.705M,13.226M,2.23B,--,+177.43%,1.23 32.15
6,AXP,American Express Company,,346.68 +23.57 (+7.29%),23.57,+7.29%,6.399M,2.538M,241.252B,24.33,+16.74%,220.43 349.19
7,SKY,"Champion Homes, Inc.",,75.70 +4.86 (+6.86%),4.86,+6.86%,1.258M,716746,4.278B,20.13,-29.12%,59.44 116.49
8,KEP,Korea Electric Power Corporation,,15.30 +0.93 (+6.44%),0.93,+6.44%,739626,453721,19.638B,4.45,+87.35%,6.68 15.30
9,JEF,Jefferies Financial Group Inc.,,51.71 +2.91 (+5.96%),2.91,+5.96%,6.786M,2.087M,10.667B,17.95,-26.56%,39.28 82.68
10,ZION,"Zions Bancorporation, National Association",,49.67 +2.74 (+5.84%),2.74,+5.84%,8.944M,1.645M,7.332B,9.06,-8.43%,39.32 63.22
11,CNS,"Cohen & Steers, Inc.",,69.59 +3.79 (+5.76%),3.79,+5.76%,519276,259112,3.549B,21.82,-38.20%,64.29 108.76
12,APPF,"AppFolio, Inc.",,235.51 +12.20 (+5.46%),12.2,+5.46%,435174,307620,8.444B,42.51,+11.02%,189.01 326.04
13,EBC,"Eastern Bankshares, Inc.",,18.17 +0.95 (+5.52%),0.95,+5.52%,5.401M,2.11M,3.61B,--,-0.35%,13.51 19.40
14,CRDO,Credo Technology Group Holding Ltd,,143.61 +7.08 (+5.19%),7.08,+5.19%,6.14M,5.358M,24.844B,199.46,+265.93%,29.09 176.70
