,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,BTDR,Bitdeer Technologies Group,,25.90 +5.78 (+28.73%),5.78,+28.73%,32.706M,5.071M,5.54B,--,+140.96%,6.84 27.80
1,NVTS,Navitas Semiconductor Corporation,,15.21 +2.64 (+21.03%),2.64,+21.03%,146.466M,31.889M,3.242B,--,+385.33%,1.52 15.43
2,MVST,"Microvast Holdings, Inc.",,6.25 +1.00 (+19.05%),1.0,+19.05%,19.441M,7.592M,2.033B,--,"+2,286.36%",0.15 6.42
3,HI,"Hillenbrand, Inc.",,31.32 +4.83 (+18.23%),4.83,+18.23%,31.708M,592428,2.207B,--,-6.00%,18.36 35.59
4,SMR,NuScale Power Corporation,,53.44 +7.65 (+16.72%),7.65,+16.72%,58.308M,16.33M,7.156B,--,+140.12%,11.08 56.16
5,HIMS,"Hims & Hers Health, Inc.",,62.82 +8.80 (+16.29%),8.8,+16.29%,51.359M,30.02M,14.199B,79.52,+141.59%,18.33 72.98
6,FLNC,"Fluence Energy, Inc.",,21.44 +2.99 (+16.21%),2.99,+16.21%,18.683M,5.873M,3.913B,--,-17.67%,3.46 24.00
7,AAOI,"Applied Optoelectronics, Inc.",,32.95 +4.47 (+15.70%),4.47,+15.70%,6.692M,5.102M,2.055B,--,+50.13%,9.71 44.50
8,RXRX,"Recursion Pharmaceuticals, Inc.",,6.79 +0.90 (+15.28%),0.9,+15.28%,177.147M,29.997M,2.964B,--,-15.98%,3.79 12.36
9,SNDK,Sandisk Corporation,,144.30 +17.01 (+13.36%),17.01,+13.36%,8.517M,4.948M,21.126B,--,+253.58%,27.89 144.55
10,BG,Bunge Global SA,,93.11 +10.70 (+12.98%),10.7,+12.98%,4.586M,1.93M,18.628B,9.39,-13.36%,67.40 95.94
11,EDU,New Oriental Education & Technology Group Inc.,,58.40 +5.52 (+10.44%),5.52,+10.44%,2.446M,1.187M,9.295B,25.39,-24.08%,40.66 71.50
12,LEU,Centrus Energy Corp.,,435.61 +39.45 (+9.96%),39.45,+9.96%,2.001M,1.443M,7.932B,70.49,+411.90%,49.40 460.09
13,BITF,Bitfarms Ltd.,,6.47 +0.58 (+9.85%),0.58,+9.85%,164.451M,63.312M,3.575B,--,+205.18%,0.67 6.60
14,ADPT,Adaptive Biotechnologies Corporation,,17.11 +1.53 (+9.82%),1.53,+9.82%,2.001M,1.961M,2.605B,--,+224.58%,4.27 17.14
15,TLX,Telix Pharmaceuticals Limited,,11.01 +0.97 (+9.66%),0.97,+9.66%,422528,171484,3.685B,550.50,-33.73%,8.93 30.36
16,INOD,Innodata Inc.,,82.98 +7.15 (+9.43%),7.15,+9.43%,1.923M,2.474M,2.643B,64.33,+330.36%,16.95 93.85
17,AMD,"Advanced Micro Devices, Inc.",,238.60 +20.51 (+9.40%),20.51,+9.40%,105.728M,61.476M,387.211B,142.02,+39.68%,76.48 240.10
18,EXK,Endeavour Silver Corp.,,9.49 +0.79 (+9.13%),0.79,+9.13%,17.691M,13.067M,2.755B,--,+100.46%,2.95 9.53
19,RGC,Regencell Bioscience Holdings Limited,,18.76 +1.54 (+8.94%),1.54,+8.94%,295172,354346,9.277B,--,"+12,987.19%",0.09 83.60
20,CLS,Celestica Inc.,,269.97 +22.22 (+8.97%),22.22,+8.97%,2.619M,3.366M,31.087B,58.95,+324.08%,55.30 271.70
21,GRAL,"GRAIL, Inc.",,75.52 +6.23 (+8.99%),6.23,+8.99%,913375,924298,2.722B,--,+383.87%,12.76 76.22
22,APLS,"Apellis Pharmaceuticals, Inc.",,25.22 +2.07 (+8.94%),2.07,+8.94%,2.46M,2.461M,3.185B,--,-17.17%,16.10 35.72
23,FSLR,"First Solar, Inc.",,244.40 +19.97 (+8.90%),19.97,+8.90%,4.502M,2.637M,26.211B,20.91,+9.15%,116.56 248.04
24,NTLA,"Intellia Therapeutics, Inc.",,25.93 +2.03 (+8.49%),2.03,+8.49%,5.422M,5.677M,2.784B,--,+16.13%,5.90 26.99
25,HMY,Harmony Gold Mining Company Limited,,21.17 +1.64 (+8.37%),1.64,+8.37%,6.847M,5.377M,13.219B,16.16,+84.59%,7.97 21.23
26,CELC,Celcuity Inc.,,50.03 +3.83 (+8.29%),3.83,+8.29%,1.214M,1.526M,2.123B,--,+190.57%,7.58 63.06
27,MANU,Manchester United plc,,18.26 +1.35 (+7.98%),1.35,+7.98%,1.093M,301529,3.149B,--,+2.36%,12.05 19.65
28,HUT,Hut 8 Corp.,,53.91 +3.97 (+7.94%),3.97,+7.94%,13.538M,5.818M,5.689B,37.70,+287.17%,10.04 57.29
29,AAUC,Allied Gold Corporation,,20.45 +1.49 (+7.86%),1.49,+7.86%,466852,178317,2.36B,--,+158.38%,6.37 20.48
30,KYMR,"Kymera Therapeutics, Inc.",,62.89 +4.63 (+7.95%),4.63,+7.95%,778268,715676,4.496B,--,+18.85%,19.45 63.29
31,SSRM,SSR Mining Inc.,,25.41 +1.81 (+7.67%),1.81,+7.67%,4.893M,3.454M,5.158B,32.58,+301.36%,5.06 25.98
32,APLD,Applied Digital Corporation,,37.76 +2.72 (+7.76%),2.72,+7.76%,51.448M,32.916M,10.561B,--,+335.28%,3.31 40.08
33,EOSE,"Eos Energy Enterprises, Inc.",,18.28 +1.28 (+7.56%),1.28,+7.56%,31.776M,17.344M,5.104B,--,+392.17%,2.06 19.04
34,AG,First Majestic Silver Corp.,,14.87 +1.06 (+7.68%),1.06,+7.68%,20.985M,20.169M,7.287B,--,+112.46%,5.09 14.90
35,COGT,"Cogent Biosciences, Inc.",,16.57 +1.14 (+7.39%),1.14,+7.39%,2.001M,1.836M,2.315B,--,+35.95%,3.72 16.99
36,DOCN,"DigitalOcean Holdings, Inc.",,43.47 +2.99 (+7.39%),2.99,+7.39%,4.912M,2.882M,3.957B,33.18,-7.05%,25.45 47.02
37,SEDG,"SolarEdge Technologies, Inc.",,40.53 +2.80 (+7.42%),2.8,+7.42%,4.144M,4.377M,2.406B,--,+103.18%,10.24 41.92
38,PLXS,Plexus Corp.,,150.25 +10.31 (+7.37%),10.31,+7.37%,272247,193765,4.055B,25.64,+1.35%,103.43 172.89
39,UEC,Uranium Energy Corp.,,16.76 +1.10 (+7.02%),1.1,+7.02%,19.806M,16.343M,8.098B,--,+96.73%,3.85 17.08
40,DNLI,Denali Therapeutics Inc.,,16.31 +1.10 (+7.23%),1.1,+7.23%,1.658M,1.948M,2.385B,--,-45.01%,10.57 33.33
41,TARS,"Tarsus Pharmaceuticals, Inc.",,74.95 +5.12 (+7.33%),5.12,+7.33%,695716,682251,3.164B,--,+85.77%,35.84 75.01
42,NG,NovaGold Resources Inc.,,10.49 +0.61 (+6.22%),0.61,+6.22%,8.376M,3.781M,4.271B,--,+175.98%,2.26 10.90
43,BEAM,Beam Therapeutics Inc.,,27.19 +1.77 (+6.96%),1.77,+6.96%,2.491M,2.578M,2.751B,--,-4.76%,13.53 35.25
44,NXT,Nextracker Inc.,,93.12 +6.17 (+7.10%),6.17,+7.10%,3.179M,2.256M,14.134B,25.37,+148.14%,30.93 93.50
